股票代码,股票名称,交易所,板块,上市时间,最新价
001322,箭牌家居,深圳交易所,主板,20221026,8.55
002572,索菲亚,深圳交易所,主板,20110412,14.26
002702,海欣食品,深圳交易所,主板,20121011,4.29
601377,兴业证券,上海交易所,主板,20101013,5.74
601369,陕鼓动力,上海交易所,主板,20100428,8.61
000582,北部湾港,深圳交易所,主板,19951102,8.62
002275,桂林三金,深圳交易所,主板,20090710,14.37
600760,中航沈飞,上海交易所,主板,19961011,47.58
002274,华昌化工,深圳交易所,主板,20080925,7.21
000798,中水渔业,深圳交易所,主板,19980212,7.22
605218,伟时电子,上海交易所,主板,20200928,21.67
002922,伊戈尔,深圳交易所,主板,20171229,15.94
601010,文峰股份,上海交易所,主板,20110603,2.9
600367,红星发展,上海交易所,主板,20010320,13.08
002344,海宁皮城,深圳交易所,主板,20100126,4.36
603757,大元泵业,上海交易所,主板,20170711,23.32
600125,铁龙物流,上海交易所,主板,19980511,5.83
300418,昆仑万维,深圳交易所,创业板,20150121,35.0
301368,丰立智能,深圳交易所,创业板,20221215,61.27
600589,大位科技,上海交易所,主板,20010612,7.3
600089,特变电工,上海交易所,主板,19970618,11.69
003031,中瓷电子,深圳交易所,主板,20210104,48.23
600250,南京商旅,上海交易所,主板,20010306,8.78
300689,澄天伟业,深圳交易所,创业板,20170809,36.6
002075,沙钢股份,深圳交易所,主板,20061025,5.86
600604,市北高新,上海交易所,主板,19920327,4.4
301048,金鹰重工,深圳交易所,创业板,20210818,10.28
002302,西部建设,深圳交易所,主板,20091103,5.89
601512,中新集团,上海交易所,主板,20191220,7.37
688203,海正生材,上海交易所,科创板,20220816,10.32
000828,东莞控股,深圳交易所,主板,19970617,10.33
