股票代码,股票名称,交易所,板块,上市时间,最新价,东财行业,证监会行业,行业为空,上市年份,上市月份,上市日期,一级行业,二级行业
'301456,盘古智能,深圳交易所,创业板,20230714,23.4,机械设备-专用设备-其他专用机械,制造业-专用设备制造业,False,2023,7,14,机械设备,专用设备
'688190,云路股份,上海交易所,科创板,20211126,85.18,有色金属-金属非金属新材料-磁性材料,制造业-黑色金属冶炼和压延加工业,False,2021,11,26,有色金属,金属非金属新材料
'000685,中山公用,深圳交易所,主板,19970123,8.52,公用事业-水务-水务,电力、热力、燃气及水生产和供应业-水的生产和供应业,False,1997,1,23,公用事业,水务
'603071,物产环能,上海交易所,主板,20211216,12.81,商贸零售-贸易-贸易,批发和零售业-批发业,False,2021,12,16,商贸零售,贸易
'000719,中原传媒,深圳交易所,主板,19970331,12.86,文化传媒-平面媒体-平面媒体,文化、体育和娱乐业-新闻和出版业,False,1997,3,31,文化传媒,平面媒体
'600362,江西铜业,上海交易所,主板,20020111,21.44,有色金属-基本金属-铜,制造业-有色金属冶炼和压延加工业,False,2002,1,11,有色金属,基本金属
'600559,老白干酒,上海交易所,主板,20021029,17.19,食品饮料-饮料-白酒,制造业-酒、饮料和精制茶制造业,False,2002,10,29,食品饮料,饮料
'600016,民生银行,上海交易所,主板,20001219,4.3,金融-银行-股份制与城商行,金融业-货币金融服务,False,2000,12,19,金融,银行
'002310,东方园林,深圳交易所,主板,20091127,2.15,公用事业-环保-环保,水利、环境和公共设施管理业-生态保护和环境治理业,False,2009,11,27,公用事业,环保
'000505,京粮控股,深圳交易所,主板,19921221,6.45,农林牧渔-农业-农产品加工,制造业-农副食品加工业,False,1992,12,21,农林牧渔,农业
'603318,水发燃气,上海交易所,主板,20150424,6.46,公用事业-燃气-燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业,False,2015,4,24,公用事业,燃气
'605100,华丰股份,上海交易所,主板,20200811,19.48,机械设备-通用设备-内燃机,制造业-通用设备制造业,False,2020,8,11,机械设备,通用设备
'605365,立达信,上海交易所,主板,20210720,15.16,家电-照明设备-照明设备,制造业-电气机械和器材制造业,False,2021,7,20,家电,照明设备
'002686,亿利达,深圳交易所,主板,20120703,6.5,机械设备-通用设备-其他通用机械,制造业-通用设备制造业,False,2012,7,3,机械设备,通用设备
'000421,南京公用,深圳交易所,主板,19960806,6.5,公用事业-燃气-燃气,电力、热力、燃气及水生产和供应业-燃气生产和供应业,False,1996,8,6,公用事业,燃气
'601699,潞安环能,上海交易所,主板,20060922,10.84,化石能源-煤炭-煤炭开采洗选,采矿业-煤炭开采和洗选业,False,2006,9,22,化石能源,煤炭
'600759,洲际油气,上海交易所,主板,19961008,2.17,化石能源-石油天然气-石油天然气开采,采矿业-石油和天然气开采业,False,1996,10,8,化石能源,石油天然气
'600527,江南高纤,上海交易所,主板,20031127,2.18,基础化工-合成纤维及树脂-其他纤维,制造业-化学纤维制造业,False,2003,11,27,基础化工,合成纤维及树脂
'000411,英特集团,深圳交易所,主板,19960716,10.94,医药生物-医药商业-医药商业,批发和零售业-批发业,False,1996,7,16,医药生物,医药商业
'605377,华旺科技,上海交易所,主板,20201228,10.95,轻工制造-造纸印刷-造纸,制造业-造纸和纸制品业,False,2020,12,28,轻工制造,造纸印刷
'601989,中国重工,上海交易所,主板,20091216,4.38,国防与装备-船舶与海洋装备-船舶制造,制造业-铁路、船舶、航空航天和其他运输设备制造业,False,2009,12,16,国防与装备,船舶与海洋装备
'000709,河钢股份,深圳交易所,主板,19970416,2.19,钢铁-钢铁-普钢,制造业-黑色金属冶炼和压延加工业,False,1997,4,16,钢铁,钢铁
'300879,大叶股份,深圳交易所,创业板,20200901,46.01,机械设备-专用设备-其他专用机械,制造业-专用设备制造业,False,2020,9,1,机械设备,专用设备
'600150,中国船舶,上海交易所,主板,19980520,30.75,国防与装备-船舶与海洋装备-船舶制造,制造业-铁路、船舶、航空航天和其他运输设备制造业,False,1998,5,20,国防与装备,船舶与海洋装备
'300521,爱司凯,深圳交易所,创业板,20160705,21.98,机械设备-专用设备-其他专用机械,制造业-专用设备制造业,False,2016,7,5,机械设备,专用设备
'600955,维远股份,上海交易所,主板,20210915,13.22,基础化工-化学原料-其他化学原料,制造业-化学原料和化学制品制造业,False,2021,9,15,基础化工,化学原料
